,xr,linear_reg,k2,k3,k5,k10,k30,k500,k100,k300
0,700,225.83067387020174,285.5,336.6666666666667,364.2,530.4,472.03333333333336,735.35,557.14,688.72
1,701,226.92031165155538,285.5,336.6666666666667,364.2,530.4,472.03333333333336,735.35,557.14,688.72
2,702,228.00994943290914,285.5,336.6666666666667,364.2,530.4,472.03333333333336,735.35,557.14,688.72
3,703,229.09958721426278,285.5,336.6666666666667,364.2,530.4,472.03333333333336,735.35,557.14,688.72
4,704,230.18922499561654,285.5,336.6666666666667,364.2,530.4,472.03333333333336,735.35,557.14,688.72
5,705,231.2788627769702,438.0,336.6666666666667,364.2,530.4,472.03333333333336,735.35,557.14,688.72
6,706,232.36850055832394,438.0,336.6666666666667,364.2,530.4,472.03333333333336,735.35,557.14,688.72
7,707,233.4581383396776,438.0,336.6666666666667,364.2,530.4,472.03333333333336,735.35,557.14,688.72
8,708,234.54777612103135,438.0,336.6666666666667,364.2,530.4,472.03333333333336,735.35,557.14,688.72
9,709,235.637413902385,438.0,336.6666666666667,364.2,530.4,472.03333333333336,735.35,557.14,688.72
10,710,236.72705168373875,438.0,369.0,364.2,530.4,472.03333333333336,735.35,557.14,688.72
11,711,237.8166894650924,438.0,369.0,364.2,530.4,472.03333333333336,735.35,557.14,688.72
12,712,238.90632724644604,438.0,369.0,364.2,530.4,472.03333333333336,735.35,557.14,688.72
13,713,239.9959650277998,438.0,369.0,364.2,530.4,472.03333333333336,735.35,557.14,688.72
14,714,241.08560280915344,438.0,369.0,364.2,530.4,472.03333333333336,735.35,557.14,688.72
15,715,242.1752405905072,438.0,369.0,364.2,530.4,472.03333333333336,735.35,557.14,688.72
16,716,243.26487837186085,438.0,369.0,364.2,530.4,472.03333333333336,735.35,557.14,688.72
17,717,244.3545161532146,438.0,369.0,364.2,530.4,472.03333333333336,735.35,557.14,688.72
18,718,245.44415393456825,438.0,369.0,364.2,530.4,472.03333333333336,735.35,557.14,688.72
19,719,246.533791715922,438.0,369.0,364.2,530.4,472.03333333333336,735.35,557.14,688.72
20,720,247.62342949727565,438.0,369.0,364.2,530.4,472.03333333333336,735.35,557.14,688.72
21,721,248.7130672786294,438.0,369.0,364.2,530.4,472.03333333333336,735.35,557.14,688.72
22,722,249.80270505998305,438.0,369.0,419.4,530.4,472.03333333333336,735.35,557.14,688.72
23,723,250.8923428413368,438.0,369.0,419.4,530.4,472.03333333333336,735.35,557.14,688.72
24,724,251.98198062269046,438.0,369.0,419.4,530.4,472.03333333333336,735.35,557.14,688.72
25,725,253.07161840404422,438.0,369.0,419.4,530.4,472.03333333333336,735.35,557.14,688.72
26,726,254.16125618539786,438.0,369.0,419.4,530.4,472.03333333333336,735.35,557.14,688.72
27,727,255.25089396675162,438.0,369.0,419.4,547.9,472.03333333333336,735.35,557.14,688.72
28,728,256.34053174810526,438.0,369.0,419.4,547.9,472.03333333333336,735.35,557.14,688.72
29,729,257.430169529459,438.0,369.0,419.4,547.9,472.03333333333336,735.35,557.14,688.72
30,730,258.51980731081267,438.0,369.0,419.4,547.9,472.03333333333336,735.35,557.14,688.72
31,731,259.6094450921664,438.0,369.0,419.4,547.9,472.03333333333336,735.35,557.14,688.72
